"","study","germplasm","grain_yield_bu_ac","test_weight_lb_bu","heading_time_jd","plant_height_in"
"169","Big6_Urb_23","MI22R115",13.1757090920783,-1.36123091473287,-1.09411896982577,0.545812906713545
"170","Big6_Neo_24","22PU-1022",13.1185293391022,1.54320936934869,-3.83111835753656,11.595834493165
"171","Big6_Neo_24","22PU-3086",13.1145366306549,-0.186177570572958,1.0354656486521,-2.03609424996072
"172","Big6_Woo_23","2435",13.103395199262,-0.497904993362051,0.182207463525822,-2.80339507656133
"173","Big6_Urb_23","2020-15726",13.1019916152494,1.4254277484357,0.412217043024499,-0.542002333053496
"174","Big6_Neo_24","OH19*102-76",13.082772533772,2.03644811613856,0.0868115911986278,3.9984215570302
"175","Big6_Woo_24","IL2021-16452",13.0819384421654,1.28831568098031,NA,NA
"176","Big6_Woo_24","2202",12.9322028068586,-0.83731493840014,NA,NA
"177","Big6_Urb_23","2433",12.9282461744283,-2.16932135347587,-0.0829355509656261,1.83613229927712
"178","Big6_Neo_24","IL2021-44005",12.9240491024123,0.245547030841186,-2.00660770315325,-1.14988698868171
"179","Big6_Neo_24","2020-12650",12.9135533969918,2.11552207264323,-1.57230816027127,0.383071752535321
"180","Big6_Urb_24","IL2021-36748",12.8951426369771,1.64350442176877,-4.24934695243155,-2.33834853652864
"181","Big6_Neo_24","IL16LCSDH-09-T-2664-23",12.8819712910952,2.79826711623605,1.18612082111901,-1.31022530924384
"182","Big6_Urb_24","OH21-112-104",12.8512640059136,2.86570528239047,-1.20112545617739,-0.638988825248427
"183","Big6_Neo_24","IL16LCSDH-09-T-2664-20",12.8396712109788,2.81624910844442,0.828974957060114,-0.206131005194387
"184","Big6_Laf_23","19-25469",12.8317757439262,1.04543812414835,-4.77698742514083,NA
"185","Big6_Laf_23","21PU-0297",12.8077233523932,-0.466111312398455,-1.73979277015944,NA
"186","Big6_Fre_23","2203",12.7711872345865,-1.16998751121009,NA,NA
"187","Big6_Fre_23","MI22W213",12.7612592313808,-1.42288391063472,NA,NA
"188","Big6_Urb_23","21PU-0285",12.7582101776522,-2.28726429580852,-0.308325621913028,-0.409428249965248
"189","Big6_Neo_24","MI20R0012",12.7440654297838,2.62673252128791,1.29502505139563,0.5909337857246
"190","Big6_Urb_23","2416",12.736649726602,-1.18411650162116,1.38034385909916,-3.23104620774602
"191","Big6_Prn_23","OH21*117-94",12.7331752048158,0.279066350690412,-2.07390886997903,-0.238108525992248
"192","Big6_Fre_23","2402",12.7247895186434,-0.732830058387611,NA,NA
"193","Big6_Fre_24","OH20-36-80",12.7166996203106,1.21394881064574,NA,NA
"194","Big6_Fra_24","2410",12.7058091894995,-1.12102291493847,NA,NA
"195","Big6_Urb_24","2447",12.7031509239478,0.666608588523833,0.877810010653236,-0.536779693926104
"196","Big6_Prn_24","X14-1006-98-19-1",12.6855469469352,1.3018962533592,0.819380832955589,NA
"197","Big6_Urb_23","21PU-0286",12.6598942749412,-2.26882785808964,0.132275085270517,-0.835218493860911
"198","Big6_Urb_23","2431",12.6367701372285,-3.88020182346563,0.465832060707799,-1.47913312902719
"199","Big6_Urb_24","OH21-91-64",12.6281433760643,-2.02543886149613,0.606905455959681,-5.57089411733776
"200","Big6_Laf_23","X14-1027-131-19-5",12.6248076287764,0.57631005599111,0.299621461762544,NA
"201","Big6_Urb_23","21PU-0296",12.6245938168004,-2.64610178204157,0.235797758039205,-1.33811707083783
"202","Big6_Woo_24","MI21W0040",12.6173699574891,-0.945752387447459,NA,NA
"203","Big6_Fre_24","16-8048",12.6164638129503,1.42686126806282,NA,NA
"204","Big6_Urb_23","21PU-0283",12.6160541417458,-2.65905388754969,0.0799402708894036,-0.63499175394546
"205","Big6_Fre_24","OH21-2-74",12.6077633960549,-0.0652206961955596,NA,NA
"206","Big6_Urb_24","22PU-3086",12.5964497964563,0.83656844279861,1.15527874239743,-2.17225856496957
"207","Big6_Urb_23","2434",12.5761820497628,-1.35748633657857,0.768164230844342,-0.954006609719627
"208","Big6_Fre_24","2450",12.5746875844549,-1.78019540445842,NA,NA
"209","Big6_Urb_24","22PU-1048",12.5158807916358,3.21528958858933,-1.12066316804747,3.3047340066088
"210","Big6_Laf_23","21PU-0648",12.5149431567671,-0.0833288899626069,-3.23924633281926,NA
"211","Big6_Neo_24","OH20*24-51",12.4950510814505,1.26518640893483,-0.0706952995548837,0.55093639523131
"212","Big6_Urb_24","2404",12.4925138100719,3.07697530082778,0.542505325816898,-0.312537974695885
"213","Big6_Urb_24","22PU-1033",12.4924644648794,2.0212326365501,1.14377299748507,4.94005383950648
"214","Big6_Urb_23","21PU-0288",12.479660614725,-1.83112017156096,0.189235717468725,-0.522876482592523
"215","Big6_Woo_24","NY12325-1-10-18-1477",12.4303304288699,-3.14070618201897,NA,NA
"216","Big6_Mas_23","2402",12.4164390275398,-0.297910292336287,0.0464396125128312,-2.53611190056586
"217","Big6_Urb_23","2255",12.4132411983653,-2.37034823680252,3.55065464883613,1.30852139219451
"218","Big6_Prn_24","OH21*117-94",12.36760025626,1.25005591245438,-0.760930410062515,NA
"219","Big6_Neo_24","IL2021-22113",12.3649892081094,1.49251673354247,-0.690809410829292,-0.521100572874132
"220","Big6_Msn_24","X17-1469-116-7-1-10",12.3592047189739,-0.952664777264544,NA,NA
"221","Big6_Woo_23","2427",12.3543051850939,-0.687057039296299,-0.153642001571956,-1.63279842975179
"222","Big6_Neo_24","IL16LCSDH-10-T-2665-21",12.3532906935314,2.50500899981765,-0.92118996488291,-3.25070798270398
"223","Big6_Fre_23","X17-1469-116-7-1-10",12.3432741397954,-0.944326704936412,NA,NA
"224","Big6_Woo_23","MI22R115",12.3216901223924,-0.0261602087828417,-1.51945702740057,-0.376580226447792
"225","Big6_Urb_24","IL2021-17749",12.3118117434492,3.63320732682033,-2.84939123377816,-1.02574667140418
"226","Big6_Urb_24","2425",12.2884953548712,-0.817051197605017,0.907265694229793,-3.28548788050422
