"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"65","21PU-0294",86.3747948665303,54.5236087845757,129.198631088079,35.1513602188561,159.975079608765,5.00387939421314,0.756053344405214,3.74256831447502,1.6239795954956,3.46864242183405
"66","X14-1006-98-19-1",86.3647125579093,56.4174019500824,129.26200335283,38.4604390973097,160.773374344354,5.01170800710188,0.760208391502635,3.76564190314172,1.75102750466531,3.35800204647713
"67","X16-1021-84-20-3-1",86.3440807749889,55.9800719322083,132.620936953215,36.7850449016485,163.322881088141,4.94564895217927,0.747186605409459,3.75282587966022,1.64554552724761,3.27082540221243
"68","X16-1079-65-13-5-1",86.3398851866683,56.9944602007085,129.142878658876,38.1237828702381,160.430645552278,4.87888370454779,0.738648639092978,3.74075725343375,1.60110624342761,3.2659747872948
"69","OH21-112-104",86.3292561979396,56.2473082736198,127.056479115186,35.4592700717611,160.081582571466,5.01833901141034,0.760190009796624,3.75471692930246,1.74484436023846,3.3555713850262
"70","MI22R115",86.3245589200522,55.8786998160933,126.787266824971,36.2922246559008,155.794262262445,4.95009960750261,0.747703446924506,3.7448742549282,1.64794618130615,3.27116888644294
"71","2255",86.3170077408113,55.9442370966222,130.857043579588,36.8289399916787,158.333209329731,5.17477629349597,0.779207541463307,3.74811421199848,1.67110868349977,3.66398580127989
"72","IL2021-19401",86.3072675917915,56.2428925693262,127.286406110598,35.7629153818945,159.098727191158,5.04178539803107,0.762214768272378,3.75604352903608,1.75198041268069,3.36550979019975
"73","2261",86.2953561988041,56.0670337941018,128.893394687468,37.0055610260319,157.600268467267,4.94409882298595,0.748477132277785,3.74372519354612,1.63233375824581,3.35758883296667
"74","IL2021-39253",86.2733678775806,57.0961691937254,127.773056881076,37.7673844908734,156.521291109899,5.03529085816041,0.761842187806293,3.75560646957544,1.74422978576196,3.35874154717395
"75","X15-1004-24-4-5-1",86.2058169281105,56.0461820742373,130.774708147784,37.4447336337499,160.335621872398,4.93907865087279,0.746835780091822,3.74846566635197,1.6467042843437,3.27123472530029
"76","2215",86.1533723093582,55.4193233490438,128.735477456467,35.1253244166064,158.795579533779,5.16836293516335,0.78046647962812,3.74813307735833,1.66870137095969,3.58106098230979
"77","X17-1673-29-3-5-6",86.1454106371785,55.5467983194276,128.064137267153,34.2898633650338,160.331907862231,5.03279987344966,0.762526152862069,3.75528296972558,1.74760460818314,3.35721719565973
"78","2211",86.1429569767242,55.4820993520031,129.454591989176,35.7841291156532,160.784647610532,5.00330171179817,0.755385348887521,3.74231279061681,1.62657729618461,3.52517893473165
"79","21PU-0288",86.1112730702932,54.641160084667,128.616540766096,34.1384211847668,160.450892754964,5.13979925882261,0.775193491129351,3.74747594351981,1.6584244456169,3.51003716806426
"80","OH20-98-32",86.1108286820351,55.5434562633427,127.399286586942,35.0967690457578,159.837974089163,4.9460363164581,0.749121218058352,3.74314981930561,1.6277033466899,3.36446000557569
"81","2429",86.0800949698237,56.7737649845809,130.045611836803,35.8138355577939,161.633795398301,5.04289019701266,0.76207959482039,3.75526236581556,1.74199172708794,3.35833941767775
